Title,Company,Location,Salary,Link,Summary
웹 솔류션(Python Django base) 개발자,비투텍,서울 금천구,,https://kr.indeed.com/viewjob?jk=,"지원자격 경력 경력 (2년이상) 학력 대학졸업(2,3년) 성별 무관 기타 담당업무 웹 솔류션( Python Django base) 개발자를 모십니다. 커리어 양식 지원 상세모집요강 접수기간/방법 시작일 2020.7.13..."
일본 소프트웨어 엔지니어 연수과정 3기 (K-MOVE 해외취업),JMP KOREA,서울,,https://kr.indeed.com/viewjob?jk=,게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임... 웹프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>증강현실(AR)|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷...
[NIT Service] NAVER IDC 서버 운영/관리(가산),엔아이티서비스,서울 금천구,,https://kr.indeed.com/viewjob?jk=,"application 운영 경험 - Shell script, python 활용 가능 - 해외 데이터센터 인프라 구축 또는 운영 경험 [고용형태... 경험 - Shell script, python 활용 가능 - 해외 데이터센..."
데이터 전문가 경력,LG CNS,서울,,https://kr.indeed.com/viewjob?jk=,"년 이상 ② R, Python, SQL 활용 가능 우대사항 (해당 내용 중 1개 이상) ① AI/빅데이터 분석 프로젝트 PM/PL 경험 보유 ② AI/빅데이터 분석 프로젝트 경험 10년 이상 ③ R, Python, SAS 중..."
글로벌 여행 스타트업 Trazy - 백엔드 개발자 (Python),트레이지(Trazy),서울 중구,,https://kr.indeed.com/viewjob?jk=,"터베이스 설계, 쿼리튜닝을 포함한 DB 활용 능력 3. 우대조건 - Python, Django를 이용한 REST API 개발 경험 - DevOps 유... 통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임..."
BS Marketing Anlaytics 인원,LG전자,서울 영등포구,,https://kr.indeed.com/viewjob?jk=,"역량 제고를 위한 지원 업무 [주요 담당업무] B2B데이터의 수집/ 관리/ 통합/ 분석 [자격요건] R 및 Python 활용가능자 TOEIC speaking 7, OPIc IH (Intermediate High)이상 (혹은..."
Technical Solutions Engineer,MightyHive,서울,,https://kr.indeed.com/viewjob?jk=,"Python and R Machine Learning, Tensor Flow Data Visualization Data Engineering, ETL Technology Used Node.js, Python, Flask..."
"R&D Engineer, Sr I",Synopsys,서울,,https://kr.indeed.com/viewjob?jk=,end to back-end Strong software programming skills in C++ and python is required Inclusion and Diversity are important to us...
Applications Engineer (Library Character...,Synopsys,서울,,https://kr.indeed.com/viewjob?jk=,"Working knowledge of scripting languages like TCL, Unix Shell, Python, or Perl. Prior AE/design experience is a plus. Working..."
현대오토에버 경력사원 대규모 상시,현대오토에버,서울,,https://kr.indeed.com/viewjob?jk=,"경험자 - 데이터 분석을 위한 Python/MariaDB 개발 경험 보유자... 지식 Python,Scala 언어에 대한기본 지식 인증기술 인증기술 어플리케이션 개발 - 프로그래밍 언어 선택 1개 (Java/ Python/C++ 등..."
[주식회사모이기술] 알고리즘 튜닝과 앙상블 코딩 경력자 -AI 딥러닝 대...,여성기업종합지원센터,서울 성북구,,https://kr.indeed.com/viewjob?jk=,여수준 : 면접 시 협의 필요기술 Python 접수방법 2020-07-24... 웹프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python
